Item,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G),Dairy,Egg,Soy,Wheat,Tree Nuts,Fish
5 Ct Nuggets Kid's Meal,71g,160,7.0,1.5,0.0,50,760,7,0,1,17,1,1,0,1,0,0
2 Ct Chick-n-Strips® Kid's Meal,91g,200,9.0,2.0,0.0,50,580,11,0,1,19,1,1,0,1,0,0
5 Ct Grilled Nuggets Kid's Meal,59g,80,2.0,0.0,0.0,55,270,1,0,0,16,0,0,0,0,0,0
Barbeque Sauce,28g,45,0.0,0.0,0.0,0,200,11,0,9,0,0,0,0,0,0,0
Chick-fil-A® Sauce,28g,140,13.0,2.0,0.0,10,170,7,0,6,0,0,1,0,0,0,0
Garden Herb Ranch Sauce,28g,140,15.0,2.5,0.0,15,210,1,0,1,1,1,1,0,0,0,0
Honey Mustard Sauce,28g,50,0.0,0.0,0.0,0,160,12,0,10,0,0,0,0,0,0,0
Polynesian Sauce,28g,110,6.0,1.0,0.0,0,220,14,0,12,0,0,0,0,0,0,0
Sweet and Spicy Sriracha Sauce,28g,45,0.0,0.0,0.0,0,380,11,0,10,0,0,0,1,1,0,0
Zesty Buffalo Sauce,21g,25,2.5,0.0,0.0,5,570,1,0,0,0,1,1,0,0,0,0
Honey Roasted BBQ Sauce,12g,60,5.0,1.0,0.0,5,75,3,0,2,0,0,1,0,0,0,0
Frosted Lemonade,383g,330,6.0,4.0,0.0,25,120,65,0,63,6,1,0,0,0,0,0
Frosted Coffee,383g,250,6.0,4.0,0.0,25,120,43,1,39,6,1,0,0,0,0,0
Chocolate Chunk Cookie,78g,370,17.0,9.0,0.0,15,230,49,3,26,5,1,1,1,1,0,0
Chocolate Fudge Brownie,85g,380,21.0,7.0,0.0,65,150,48,2,36,4,1,1,1,1,0,0
Peach Milkshake,412g,590,18.0,11.0,0.5,70,410,99,1,97,11,1,0,0,0,0,0
Cookies & Cream Milkshake,411g,630,25.0,15.0,1.0,85,410,90,1,84,13,1,0,1,1,0,0
Chocolate Milkshake,399g,590,22.0,14.0,1.0,85,350,90,1,87,12,1,0,0,0,0,0
Strawberry Milkshake,412g,570,19.0,12.0,0.5,75,380,93,1,87,11,1,0,0,0,0,0
Vanilla Milkshake,409g,580,23.0,15.0,1.0,90,380,82,0,80,13,1,0,0,0,0,0
Icedream® Cone,135g,180,4.0,2.5,0.0,15,90,32,0,25,4,1,0,1,1,0,0
Icedream® Cup,122g,140,3.5,2.5,0.0,15,70,24,0,24,4,1,0,0,0,0,0
Frosted Lemonade w/ Diet Lemonade,383g,250,6.0,4.0,0.0,25,120,46,0,43,6,1,0,0,0,0,0
6 pack Chocolate Chunk Cookie,78g,370,17.0,9.0,0.0,15,230,49,3,26,5,1,1,1,1,0,0
Iced Coffee,438g,150,2.5,1.5,0.0,0,75,30,0,24,5,1,0,0,0,0,0
