5 Ct Nuggets Kid's Meal,160,1,1,0,1,0,0
2 Ct Chick-n-Strips® Kid's Meal,200,1,1,0,1,0,0
5 Ct Grilled Nuggets Kid's Meal,80,0,0,0,0,0,0
Barbeque Sauce,45,0,0,0,0,0,0
Chick-fil-A® Sauce,140,0,1,0,0,0,0
Garden Herb Ranch Sauce,140,1,1,0,0,0,0
Honey Mustard Sauce,50,0,0,0,0,0,0
Polynesian Sauce,110,0,0,0,0,0,0
Sweet and Spicy Sriracha Sauce,45,0,0,1,1,0,0
Zesty Buffalo Sauce,25,1,1,0,0,0,0
Honey Roasted BBQ Sauce,60,0,1,0,0,0,0
Frosted Lemonade,330,1,0,0,0,0,0
Frosted Coffee,250,1,0,0,0,0,0
Chocolate Chunk Cookie,370,1,1,1,1,0,0
Chocolate Fudge Brownie,380,1,1,1,1,0,0
Peach Milkshake,590,1,0,0,0,0,0
Cookies & Cream Milkshake,630,1,0,1,1,0,0
Chocolate Milkshake,590,1,0,0,0,0,0
Strawberry Milkshake,570,1,0,0,0,0,0
Vanilla Milkshake,580,1,0,0,0,0,0
Icedream® Cone,180,1,0,1,1,0,0
Icedream® Cup,140,1,0,0,0,0,0
Frosted Lemonade w/ Diet Lemonade,250,1,0,0,0,0,0
6 pack Chocolate Chunk Cookie,370,1,1,1,1,0,0
Iced Coffee,150,1,0,0,0,0,0
DASANI® Bottled Water,0,0,0,0,0,0,0
Honest Kids® Apple Juice,35,0,0,0,0,0,0
Simply Orange®,160,0,0,0,0,0,0
1% Chocolate Milk,140,1,0,0,0,0,0
1% Milk,90,1,0,0,0,0,0
Coffee,0,0,0,0,0,0,0
5 lb Bag of Ice,0,0,0,0,0,0,0
Small Freshly-Brewed Iced Tea Sweetened,70,0,0,0,0,0,0
Medium Freshly-Brewed Iced Tea Sweetened,120,0,0,0,0,0,0
Large Freshly-Brewed Iced Tea Sweetened,170,0,0,0,0,0,0
Small Freshly-Brewed Iced Tea Unsweetened,0,0,0,0,0,0,0
Medium Freshly-Brewed Iced Tea Unsweetened,0,0,0,0,0,0,0
Large Freshly-Brewed Iced Tea Unsweetened,0,0,0,0,0,0,0
Small Chick-fil-A® Lemonade,130,0,0,0,0,0,0
Medium Chick-fil-A® Lemonade,220,0,0,0,0,0,0
Large Chick-fil-A® Lemonade,300,0,0,0,0,0,0
Small Chick-fil-A® Diet Lemonade,30,0,0,0,0,0,0
Medium Chick-fil-A® Diet Lemonade,50,0,0,0,0,0,0
Large Chick-fil-A® Diet Lemonade,80,0,0,0,0,0,0
Small Sunjoy® (1/2 Sweet Tea 1/2 Lemonade),120,0,0,0,0,0,0
Medium Sunjoy® (1/2 Sweet Tea 1/2 Lemonade),170,0,0,0,0,0,0
Large Sunjoy® (1/2 Sweet Tea 1/2 Lemonade),260,0,0,0,0,0,0
Small Sunjoy® (1/2 Sweet Tea 1/2 Diet Lemonade),80,0,0,0,0,0,0
Medium Sunjoy® (1/2 Sweet Tea  1/2 Diet Lemonade),100,0,0,0,0,0,0
Large Sunjoy® (1/2 Sweet Tea  1/2 Diet Lemonade),140,0,0,0,0,0,0
Small Sunjoy® (1/2 Unsweet Tea  1/2 Lemonade),60,0,0,0,0,0,0
Medium Sunjoy® (1/2 Unsweet Tea  1/2 Lemonade),90,0,0,0,0,0,0
Large Sunjoy® (1/2 Unsweet Tea  1/2 Lemonade),140,0,0,0,0,0,0
Small Sunjoy® (1/2 Unsweet Tea  1/2 Diet Lemonade),15,0,0,0,0,0,0
Medium Sunjoy® (1/2 Unsweet Tea  1/2 Diet Lemonade),20,0,0,0,0,0,0
Large Sunjoy® (1/2 Unsweet Tea  1/2 Diet Lemonade),35,0,0,0,0,0,0
Small Coca-Cola®,100,0,0,0,0,0,0
Medium Coca-Cola®,140,0,0,0,0,0,0
Large Coca-Cola®,230,0,0,0,0,0,0
Small Dr Pepper®,140,0,0,0,0,0,0
Medium Dr Pepper®,180,0,0,0,0,0,0
